County,Property Name,Address,Address Description,City,Listed Date
Cerro Gordo,"Yelland, Curtis, House",37  River Heights Dr ,,Mason City,29-Jan-80
Cerro Gordo,Modern Brotherhood of America,103 E State St ,SE corner N Delaware and E State Sts - pak 101 E State St,Mason City,12-Sep-02
Cerro Gordo,"Youngblood, Tessa, House",36  Oak Dr ,,Mason City,29-Jan-80
Cerro Gordo,Mason City Public Library,208 E State St ,,Mason City,25-May-89
Cerro Gordo,"Rye, Chris, House",630 E State St ,,Mason City,29-Jan-80
Cerro Gordo,State Street Bridge, E State St ,Over Willow Creek,Mason City,25-Jun-98
Cerro Gordo,Park Inn Hotel,15 W State St ,,Mason City,14-Sep-72
Cerro Gordo,Rock Crest/Rock Glen Historic District,,,Mason City,28-Dec-79
Cerro Gordo,Parker's Opera House,23 N Federal Ave ,aka 21 N Federal Ave,Mason City,23-Sep-98
Cerro Gordo,East Park Band Shell,601 N Main St ,"East Park - E 8th St, Kentucky, N Carolina, Winnebago River",Mason City,14-Oct-09
Cerro Gordo,St. John Baptist Church,715  6th St SW,,Mason City,24-Jan-02
Cerro Gordo,Mason City Downtown Historic District,,"Bounded by N 4th St, Georgia Ave, Washington Ave, S 2nd St",Mason City,08-Sep-05
Cerro Gordo,"Lippert, Fred, Apartments",122 N Madison Ave ,122-124,Mason City,29-Jan-80
Cerro Gordo,First Church of Christ Scientist,23  3rd St NW,aka 219 N Washington St,Mason City,30-Oct-97
Cerro Gordo,Mason City YMCA,15 N Pennsylvania Ave ,,Mason City,02-May-02
Cerro Gordo,"Stockman, Dr. G. C., House",530  1st St NE,moved from 311 1st St SE,Mason City,17-Sep-92
Cerro Gordo,Winnebago River Bridge,,.5 mi N of Mason City,Mason City,25-Jun-98
Cerro Gordo,Jewell Apartments,404  1st St NW,404-412 1st St NW,Mason City,29-Jan-80
Cerro Gordo,"Franke, C. F., House",320  1st St SE,,Mason City,29-Jan-80
Cerro Gordo,"Romey, George, House",428  1st St SE,,Mason City,29-Jan-80
Cerro Gordo,Keerl-Decker Residence,119  2nd St SE,,Mason City,20-Dec-02
Cerro Gordo,City National Bank Building,4 S Federal Ave ,,Mason City,14-Sep-72
Cerro Gordo,"Rule, Duncan, House",321  2nd St SE,,Mason City,16-Oct-79
Cerro Gordo,"Gibson, E. R., House",114  4th St NW,,Mason City,29-Jan-80
Cerro Gordo,"Seney, Charles, House",109  7th St NW,,Mason City,29-Jan-80
Cerro Gordo,"Wolf, Meir, House",811 N Adams Ave ,,Mason City,29-Jan-80
Cerro Gordo,Stewart Avenue Bridge, N Carolina Ave ,600-700 Block,Mason City,25-Jun-98
Cerro Gordo,Wagner-Mozart Music Hall,21 N Delaware Ave ,At 1st St. NE,Mason City,16-Nov-78
Cerro Gordo,First National Bank of Mason City,5 N Federal Ave ,5-7 N Federal Ave,Mason City,02-May-97
Cerro Gordo,The Kirk,206 N Federal Ave ,,Mason City,12-Apr-82
Cerro Gordo,"Norris, F. M., House",108  4th St NE,,Mason City,29-Jan-80
Cerro Gordo,"Cannon, Amaziah and Cornelia (Wait), House",1581  Eisenhower Ave ,Approx. 2.5 mi S of Mason City,Mason City,25-Aug-04
Cerro Gordo,Rock Falls Bridge,  Spring St ,Over Shell Rock River,Rock Falls,25-Jun-98
Cherokee,Brewster Site,,4 miles North & 1 mile West of Cherokee,Cherokee,07-Mar-79
Cherokee,Cherokee Commercial Historic District,,"Parts of Main, Maple and Willow between 1st and 6th Sts",Cherokee,24-Aug-05
Cherokee,Mill Creek Bridge,  Old State 21  ,2.2 mi N of Cherokee,Cherokee,25-Jun-98
Cherokee,Lewis Hotel,231 W Main St ,,Cherokee,15-Sep-97
Cherokee,Illinois Central Railroad Yard -- Cherokee, S 4th St ,Between S. 4th & 5th Sts. from W. Maple to W. Beech Streets,Cherokee,06-Sep-90
Cherokee,Cherokee Public Library,215 S 2nd St ,,Cherokee,09-Apr-85
Cherokee,Phipps Site,,2 1/2 miles North of Cherokee,Cherokee,15-Oct-66
Cherokee,Cherokee Sewer Site,,1 mile South & 1 1/2 miles West of Cherokee,Cherokee,24-Dec-74
Cherokee,Bastian Site,,1 1/2 miles Northeast of Cherokee,Cherokee,19-Jul-76
Chickasaw,"Darrow, George, Round Barn",,Approximately 7 miles NE of Charles City,Alta Vista,30-Jun-86
Chickasaw,Chickasaw Octagon House,  Court St ,"Approx 8 miles East of Charles City, Village of Chickasaw",Chickasaw,17-Jul-79
Chickasaw,Chickasaw County Courthouse,8 E Prospect St ,Prospect Street at Locust Avenue,New Hampton,02-Jul-81
Chickasaw,"Foley, John, House",511 N Locust Ave ,,New Hampton,16-Apr-79
Clarke,"Banta, J. V., House",222  McLane St ,,Osceola,14-Jul-83
Clarke,"Chicago, Burlington, and Quincy Depot",215 N Main St ,,Osceola,08-Jan-09
Clarke,Osceola Masonic Block,101 S Main St ,101-103 S Main St,Osceola,06-Jul-10
Clarke,"Webster, Dickinson, House",609 W Jefferson St ,,Osceola,20-Jul-77
Clarke,"Cowles, George H. and Alice (Spaulding), House",229 W Cass St ,,Osceola,20-Dec-06
