County,City,Listed Date,Property Name,Address,Address Description,Rural Location,ID#,Zone,Easting,Northing,NAD
Mahaska,Oskaloosa,20-Nov-74,"Nelson, Daniel, House and Barn",  Glendale Rd ,"2 miles N of Oskaloosa,  RR #1","Spring Creek Twp., Sec. 5, T075N-R15W",62-00079,15,531746,4575707,NAD83
Marshall,State Center,30-Jun-86,"Dobbin, Daniel, Round Barn",,2 miles SW of State Center,"State Center Twp., Sec. 20, T083N-R20W",64-00100,15,483414,4648111,NAD83
Mitchell,Carpenter,15-Jul-77,"Severson, Nels, Barn",,appx .5 mi N of Carpenter,"Newberg Twp., Sec. 6, T099N-R18W",66-00029,15,499101,4807719,NAD83
Monona,Mapleton,30-Jun-86,Round Barn,,2 mi SE of Mapleton,"Cooper Twp., Sec. 33, T085N-R42W",67-00095,15,273452,4668350,NAD83
Monroe,Albia,30-Jun-86,Clark Round Barn,,5 mi SW of Albia,"Franklin Twp., Sec. 1, T071N-R18W",68-00007,15,509989,4536452,NAD83
Montgomery,Sciola,30-Jun-86,"Round Barn, Washington Township",,Located approx 5.5 miles South of Grant,"Washington Twp., Sec. 3, T072N-R36W",69-00018,15,333279,4547411,NAD83
Montgomery,Stennett,30-Jun-86,"Round Barn, Pilot Grove Township",,Located apx 5 miles SW of Grant,"Pilot Grove Twp., Sec. 22, T073N-R37W",69-00041,15,325299,4552709,NAD83
Page,Hepburn,30-Jun-86,McCoy Round Barn,,appx 1.5 mi NE of Hepburn,"Valley Twp., Sec. 16, T070N-R36W",73-00116,15,332624,4526265,NAD83
Plymouth,Le Mars,19-Nov-86,Tonsfeldt Round Barn,621  Plymouth St ,Plymouth County Fairgrounds," Twp., Sec. , T-R",75-00136,15,241767,4742682,NAD83
Polk,Des Moines,30-Nov-73,"Flynn Farm, Mansion, and Barn",2600  111th St ,," Twp., Sec. , T-R",77-05465,15,435388,4608057,NAD83
Pottawattamie,Avoca,30-Jun-86,Eckle Round Barn,,apx 7 miles NW of Avoca,"Pleasant Twp., Sec. 6, T077N-R40W",78-00176,15,291882,4597914,NAD83
Ringgold,Diagonal,11-Jul-86,"Buck, W. J., Polygonal Barn",,3 mi SE of Diagonal,"Washington Twp., Sec. 14, T069N-R30W",80-00104,15,392931,4515375,NAD83
Scott,Blue Grass,30-Jun-86,"Nebergall ""Knoll Crest"" Round Barn",,Approx. 2 mi E of Blue Grass,"Blue Grass Twp., Sec. 34, T078N-R02E",82-00056,15,690449,4598652,NAD83
Story,Colo,28-Jan-04,Mulcahy Barn,25623  710th Ave ,,"New Albany Twp., Sec. 21, T083N-R21W",85-03179,15,475945,4648057,NAD83
Tama,Dysart,30-Jun-86,"Young, John W., Round Barn",,apx 2 miles N of Dysart,"Perry Twp., Sec. 10, T085N-R14W",86-00117,15,543442,4670274,NAD83
Taylor,Bedford,05-May-99,Lenox Round Barn,1001  Pollock Blvd ,," Twp., Sec. , T-R",87-00451,15,354147,4504304,NAD83
Van Buren,Cantril,30-Jun-86,Wickfield Round Barn,,Approx 2 miles NE of Cantril,"Des Moines Twp., Sec. 20, T068N-R10W",89-00356,15,581546,4502345,NAD83
Warren,Milo,30-Jun-86,Octagon Barn,,Apx 1/2 mile S of Milo,"Otter Twp., Sec. 25, T075N-R23W",91-00050,15,462917,4569482,NAD83
Washington,Wellman,11-Jul-86,"Johnson, Thomas, Round Barn",,Approx. 4 mi SW of Wellman,"Lime Creek Twp., Sec. 30, T077N-R08W",92-00122,15,597831,4588181,NAD83
Wayne,Allerton,19-Nov-86,Nelson Round Barn,,apx 1/2 mi E of Allerton,"Warren Twp., Sec. 12, T068N-R22W",93-00021,15,470805,4505674,NAD83
Winnebago,Scarville,27-Feb-87,"Round Barn, Norway Township",  County Rd R60  ,"apx 1 mi NNE of Scarville, off county road R-60","Norway Twp., Sec. 7, T100N-R23W",95-00013,15,451633,4815366,NAD83
Winneshiek,Burr Oak,19-Nov-86,Kinney Octagon Barn,,1mi N of Burr Oak,"Burr Oak Twp., Sec. 13, T100N-R09W",96-00378,15,591539,4813884,NAD83
